Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_bdy_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb,attack_cat,Label
1591890635,10.0.2.15,52004,10.0.2.4,34573,tcp,-,0.000024,0,0,REJ,1,1,0,53,53,0,0,53,53,53,64,64,0,0,0,60,40,29200,0,1063015647,0,Exploits ,1
1591890635,10.0.2.15,41236,10.0.2.4,1244,tcp,-,0.000007,0,0,REJ,1,1,0,54,54,0,0,54,54,54,64,64,0,0,0,60,40,29200,0,247028054,0,Exploits ,1
1591890635,10.0.2.15,39410,10.0.2.4,9050,tcp,-,0.000005,0,0,REJ,1,1,0,55,55,0,0,55,55,55,64,64,0,0,0,60,40,29200,0,1201448010,0,Exploits ,1
1591890635,10.0.2.15,40086,10.0.2.4,667,tcp,-,0.000008,0,0,REJ,1,1,0,56,56,0,0,56,56,56,64,64,0,0,0,60,40,29200,0,4043240076,0,Exploits ,1
1591890635,10.0.2.15,49104,10.0.2.4,89,tcp,-,0.000011,0,0,REJ,1,1,0,57,57,0,0,57,57,57,64,64,0,0,0,60,40,29200,0,564364221,0,Exploits ,1
1591890635,10.0.2.15,34566,10.0.2.4,19101,tcp,-,0.000006,0,0,REJ,1,1,0,58,58,0,0,58,58,58,64,64,0,0,0,60,40,29200,0,1359565786,0,Exploits ,1
1591890635,10.0.2.15,46280,10.0.2.4,32782,tcp,-,0.000011,0,0,REJ,1,1,0,59,59,0,0,59,59,59,64,64,0,0,0,60,40,29200,0,2931764948,0,Exploits ,1
1591890635,10.0.2.15,43668,10.0.2.4,1001,tcp,-,0.00001,0,0,REJ,1,1,0,60,60,0,0,60,60,60,64,64,0,0,0,60,40,29200,0,858118993,0,Exploits ,1
1591890635,10.0.2.15,57940,10.0.2.4,1236,tcp,-,0.000007,0,0,REJ,1,1,0,61,61,0,0,61,61,61,64,64,0,0,0,60,40,29200,0,2865153279,0,Exploits ,1
1591890635,10.0.2.15,58264,10.0.2.4,20828,tcp,-,0.00001,0,0,REJ,1,1,0,62,62,0,0,62,62,62,64,64,0,0,0,60,40,29200,0,613717198,0,Exploits ,1
1591890635,10.0.2.15,40734,10.0.2.4,9900,tcp,-,0.000006,0,0,REJ,1,1,0,63,63,0,0,63,63,63,64,64,0,0,0,60,40,29200,0,1880241335,0,Exploits ,1
1591890635,10.0.2.15,51602,10.0.2.4,787,tcp,-,0.00001,0,0,REJ,1,1,0,64,64,0,0,64,64,64,64,64,0,0,0,60,40,29200,0,90406866,0,Exploits ,1
1591890635,10.0.2.15,45942,10.0.2.4,7070,tcp,-,0.000011,0,0,REJ,1,1,0,65,65,0,0,65,65,65,64,64,0,0,0,60,40,29200,0,2583473094,0,Exploits ,1
1591890635,10.0.2.15,34838,10.0.2.4,4446,tcp,-,0.000011,0,0,REJ,1,1,0,66,66,0,0,66,66,66,64,64,0,0,0,60,40,29200,0,1439659067,0,Exploits ,1
1591890635,10.0.2.15,39564,10.0.2.4,1071,tcp,-,0.000008,0,0,REJ,1,1,0,67,67,0,0,67,67,67,64,64,0,0,0,60,40,29200,0,15975030,0,Exploits ,1
1591890635,10.0.2.15,57538,10.0.2.4,1026,tcp,-,0.000024,0,0,REJ,1,1,0,68,68,0,0,68,68,68,64,64,0,0,0,60,40,29200,0,230960257,0,Exploits ,1
1591890635,10.0.2.15,36796,10.0.2.4,406,tcp,-,0.000011,0,0,REJ,1,1,0,69,69,0,0,69,69,69,64,64,0,0,0,60,40,29200,0,2770364848,0,Exploits ,1
1591890635,10.0.2.15,55142,10.0.2.4,3367,tcp,-,0.000019,0,0,REJ,1,1,0,70,70,0,0,70,70,70,64,64,0,0,0,60,40,29200,0,2529050986,0,Exploits ,1
1591890635,10.0.2.15,34408,10.0.2.4,2602,tcp,-,0.000013,0,0,REJ,1,1,0,71,71,0,0,71,71,71,64,64,0,0,0,60,40,29200,0,3261040342,0,Exploits ,1
1591890635,10.0.2.15,36178,10.0.2.4,3370,tcp,-,0.00001,0,0,REJ,1,1,0,72,72,0,0,72,72,72,64,64,0,0,0,60,40,29200,0,433131961,0,Exploits ,1
1591890635,10.0.2.15,56544,10.0.2.4,7921,tcp,-,0.000015,0,0,REJ,1,1,0,73,73,0,0,73,73,73,64,64,0,0,0,60,40,29200,0,2848148453,0,Exploits ,1
1591890635,10.0.2.15,35094,10.0.2.4,100,tcp,-,0.000012,0,0,REJ,1,1,0,74,74,0,0,74,74,74,64,64,0,0,0,60,40,29200,0,2469518129,0,Exploits ,1
1591890635,10.0.2.15,46668,10.0.2.4,4242,tcp,-,0.000012,0,0,REJ,1,1,0,75,75,0,0,75,75,75,64,64,0,0,0,60,40,29200,0,1485262981,0,Exploits ,1
1591890635,10.0.2.15,52638,10.0.2.4,8086,tcp,-,0.000011,0,0,REJ,1,1,0,76,76,0,0,76,76,76,64,64,0,0,0,60,40,29200,0,837306497,0,Exploits ,1
1591890635,10.0.2.15,47532,10.0.2.4,2800,tcp,-,0.000009,0,0,REJ,1,1,0,77,77,0,0,77,77,77,64,64,0,0,0,60,40,29200,0,3443982054,0,Exploits ,1
1591890635,10.0.2.15,39606,10.0.2.4,1352,tcp,-,0.000013,0,0,REJ,1,1,0,78,78,0,0,78,78,78,64,64,0,0,0,60,40,29200,0,945939818,0,Exploits ,1
1591890635,10.0.2.15,54344,10.0.2.4,20222,tcp,-,0.000013,0,0,REJ,1,1,0,79,79,0,0,79,79,79,64,64,0,0,0,60,40,29200,0,906372908,0,Exploits ,1
1591890635,10.0.2.15,34706,10.0.2.4,32784,tcp,-,0.000009,0,0,REJ,1,1,0,80,80,0,0,80,80,80,64,64,0,0,0,60,40,29200,0,3516226681,0,Exploits ,1
1591890635,10.0.2.15,41084,10.0.2.4,1234,tcp,-,0.000012,0,0,REJ,1,1,0,81,81,0,0,81,81,81,64,64,0,0,0,60,40,29200,0,548944667,0,Exploits ,1
1591890635,10.0.2.15,43846,10.0.2.4,7435,tcp,-,0.000012,0,0,REJ,1,1,0,82,82,0,0,82,82,82,64,64,0,0,0,60,40,29200,0,1561658048,0,Exploits ,1
1591890635,10.0.2.15,36436,10.0.2.4,7911,tcp,-,0.000009,0,0,REJ,1,1,0,83,83,0,0,83,83,83,64,64,0,0,0,60,40,29200,0,3291864099,0,Exploits ,1
1591890635,10.0.2.15,57136,10.0.2.4,5989,tcp,-,0.000015,0,0,REJ,1,1,0,84,84,0,0,84,84,84,64,64,0,0,0,60,40,29200,0,397096592,0,Exploits ,1
1591890635,10.0.2.15,58698,10.0.2.4,1840,tcp,-,0.000011,0,0,REJ,1,1,0,85,85,0,0,85,85,85,64,64,0,0,0,60,40,29200,0,4288445063,0,Exploits ,1
1591890635,10.0.2.15,38788,10.0.2.4,1063,tcp,-,0.000012,0,0,REJ,1,1,0,86,86,0,0,86,86,86,64,64,0,0,0,60,40,29200,0,1014689908,0,Exploits ,1
1591890635,10.0.2.15,35578,10.0.2.4,49156,tcp,-,0.000009,0,0,REJ,1,1,0,87,87,0,0,87,87,87,64,64,0,0,0,60,40,29200,0,194708344,0,Exploits ,1
1591890635,10.0.2.15,57634,10.0.2.4,5961,tcp,-,0.000011,0,0,REJ,1,1,0,88,88,0,0,88,88,88,64,64,0,0,0,60,40,29200,0,1966559588,0,Exploits ,1
1591890635,10.0.2.15,47740,10.0.2.4,7627,tcp,-,0.000011,0,0,REJ,1,1,0,89,89,0,0,89,89,89,64,64,0,0,0,60,40,29200,0,2927581847,0,Exploits ,1
1591890635,10.0.2.15,49444,10.0.2.4,6646,tcp,-,0.000006,0,0,REJ,1,1,0,90,90,0,0,90,90,90,64,64,0,0,0,60,40,29200,0,1588835014,0,Exploits ,1
1591890635,10.0.2.15,53022,10.0.2.4,55056,tcp,-,0.000018,0,0,REJ,1,1,0,91,91,0,0,91,91,91,64,64,0,0,0,60,40,29200,0,4067105516,0,Exploits ,1
1591890635,10.0.2.15,35148,10.0.2.4,3003,tcp,-,0.000007,0,0,REJ,1,1,0,92,92,0,0,92,92,92,64,64,0,0,0,60,40,29200,0,4103673344,0,Exploits ,1
1591890635,10.0.2.15,48398,10.0.2.4,1187,tcp,-,0.000006,0,0,REJ,1,1,0,93,93,0,0,93,93,93,64,64,0,0,0,60,40,29200,0,503258113,0,Exploits ,1
1591890635,10.0.2.15,49538,10.0.2.4,3851,tcp,-,0.000028,0,0,REJ,1,1,0,94,94,0,0,94,94,94,64,64,0,0,0,60,40,29200,0,104471291,0,Exploits ,1
1591890635,10.0.2.15,47492,10.0.2.4,3283,tcp,-,0.000011,0,0,REJ,1,1,0,95,95,0,0,95,95,95,64,64,0,0,0,60,40,29200,0,3907880204,0,Exploits ,1
1591890635,10.0.2.15,36602,10.0.2.4,1998,tcp,-,0.000012,0,0,REJ,1,1,0,96,96,0,0,96,96,96,64,64,0,0,0,60,40,29200,0,3243843512,0,Exploits ,1
1591890635,10.0.2.15,55658,10.0.2.4,1000,tcp,-,0.000009,0,0,REJ,1,1,0,97,97,0,0,97,97,97,64,64,0,0,0,60,40,29200,0,2727771532,0,Exploits ,1
1591890635,10.0.2.15,36642,10.0.2.4,1113,tcp,-,0.000012,0,0,REJ,1,1,0,98,98,0,0,98,98,98,64,64,0,0,0,60,40,29200,0,479380138,0,Exploits ,1
1591890635,10.0.2.15,33894,10.0.2.4,6668,tcp,-,0.000012,0,0,REJ,1,1,0,99,99,0,0,99,99,99,64,64,0,0,0,60,40,29200,0,3820023547,0,Exploits ,1
1591890635,10.0.2.15,47820,10.0.2.4,4444,tcp,-,0.000012,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1240165883,0,Exploits ,1
1591890635,10.0.2.15,44456,10.0.2.4,2170,tcp,-,0.000013,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3065292287,0,Exploits ,1
1591890635,10.0.2.15,55528,10.0.2.4,1117,tcp,-,0.000007,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3961604489,0,Exploits ,1
1591890635,10.0.2.15,45088,10.0.2.4,2718,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3587354699,0,Exploits ,1
1591890635,10.0.2.15,36258,10.0.2.4,1078,tcp,-,0.000012,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3971038108,0,Exploits ,1
1591890635,10.0.2.15,50564,10.0.2.4,9968,tcp,-,0.000013,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1616775437,0,Exploits ,1
1591890635,10.0.2.15,52838,10.0.2.4,4449,tcp,-,0.000009,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2410746986,0,Exploits ,1
1591890635,10.0.2.15,59452,10.0.2.4,1137,tcp,-,0.000015,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3724195362,0,Exploits ,1
1591890635,10.0.2.15,58456,10.0.2.4,10002,tcp,-,0.000019,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3742716062,0,Exploits ,1
1591890635,10.0.2.15,60838,10.0.2.4,3800,tcp,-,0.000009,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,977761791,0,Exploits ,1
1591890635,10.0.2.15,56994,10.0.2.4,700,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1478045254,0,Exploits ,1
1591890635,10.0.2.15,32806,10.0.2.4,5221,tcp,-,0.000007,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1246929481,0,Exploits ,1
1591890635,10.0.2.15,35048,10.0.2.4,1533,tcp,-,0.000009,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,4174520557,0,Exploits ,1
1591890635,10.0.2.15,42028,10.0.2.4,7999,tcp,-,0.000017,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1703565816,0,Exploits ,1
1591890635,10.0.2.15,57050,10.0.2.4,617,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2195611906,0,Exploits ,1
1591890635,10.0.2.15,59142,10.0.2.4,16016,tcp,-,0.000006,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2670793206,0,Exploits ,1
1591890635,10.0.2.15,46098,10.0.2.4,2105,tcp,-,0.000006,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3474632680,0,Exploits ,1
1591890635,10.0.2.15,47880,10.0.2.4,873,tcp,-,0.000015,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3542529167,0,Exploits ,1
1591890635,10.0.2.15,47926,10.0.2.4,1059,tcp,-,0.000013,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2132407084,0,Exploits ,1
1591890635,10.0.2.15,36820,10.0.2.4,60020,tcp,-,0.000026,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,133223522,0,Exploits ,1
1591890635,10.0.2.15,42086,10.0.2.4,9000,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3628137960,0,Exploits ,1
1591890635,10.0.2.15,49302,10.0.2.4,3889,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2254455920,0,Exploits ,1
1591890635,10.0.2.15,34448,10.0.2.4,32775,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,4209017838,0,Exploits ,1
1591890635,10.0.2.15,39784,10.0.2.4,2522,tcp,-,0.000013,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,10719517,0,Exploits ,1
1591890635,10.0.2.15,40708,10.0.2.4,992,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3417663257,0,Exploits ,1
1591890635,10.0.2.15,55912,10.0.2.4,1183,tcp,-,0.000007,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,982512291,0,Exploits ,1
1591890635,10.0.2.15,33946,10.0.2.4,1334,tcp,-,0.000006,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3266274676,0,Exploits ,1
1591890635,10.0.2.15,44596,10.0.2.4,5825,tcp,-,0.00001,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2958688875,0,Exploits ,1
1591890635,10.0.2.15,40872,10.0.2.4,2003,tcp,-,0.000006,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2097044061,0,Exploits ,1
1591890635,10.0.2.15,41792,10.0.2.4,6002,tcp,-,0.000012,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1012834651,0,Exploits ,1
1591890635,10.0.2.15,58636,10.0.2.4,389,tcp,-,0.000006,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3400039927,0,Exploits ,1
1591890635,10.0.2.15,45978,10.0.2.4,4443,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,1018261064,0,Exploits ,1
1591890635,10.0.2.15,39072,10.0.2.4,4343,tcp,-,0.000027,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,2072344388,0,Exploits ,1
1591890635,10.0.2.15,51020,10.0.2.4,1046,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200,0,3038250236,0,Exploits ,1
