Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1593625700.031088,10.0.2.15,43912,10.0.2.5,3143,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3062431226,0
1593625700.0310981,10.0.2.15,44218,10.0.2.5,1576,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1847711088,0
1593625700.031219,10.0.2.15,38988,10.0.2.5,3672,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,4024935599,0
1593625700.031234,10.0.2.15,50164,10.0.2.5,2284,tcp,-,0.000024,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,121764869,0
1593625700.031316,10.0.2.15,38882,10.0.2.5,2185,tcp,-,0.000007,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2758712454,0
1593625700.031331,10.0.2.15,51588,10.0.2.5,582,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,766416463,0
1593625700.031408,10.0.2.15,33592,10.0.2.5,177,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3923514710,0
1593625700.031519,10.0.2.15,34162,10.0.2.5,1785,tcp,-,0.000010,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3759792581,0
1593625700.031539,10.0.2.15,44004,10.0.2.5,1644,tcp,-,0.000011,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3831707982,0
1593625700.031563,10.0.2.15,54040,10.0.2.5,3201,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1125174291,0
