ts,uid,id_orig_h,id_orig_p,id_resp_h,id_resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1590507241,CPbx7a18EK7CRml2x1,192.168.0.108,48350,157.140.2.32,80,tcp,http,15.903654,3529,90799,SF,-,-,0,ShADadfF,31,5149,30,92367,
1590507241,CwRDWd1J1VDVKRUJp5,192.168.0.108,48352,157.140.2.32,80,tcp,http,11.261185,6636,62945,SF,-,-,0,ShADadFRfR,36,8456,27,64886,
1590507243,Czdyve1mq4EebI8OHf,192.168.0.108,38745,192.168.0.1,53,udp,dns,0.00397,62,78,SF,-,-,0,Dd,1,90,1,106,
1590507245,CHxMu240uoD5J4rK5k,192.168.0.108,33456,104.26.4.214,443,tcp,-,2.745857,145,787,OTH,-,-,0,DadA,5,345,5,987,
1590507245,C8BW1LlyRIBM6H116,192.168.0.108,48354,157.140.2.32,80,tcp,http,12.774035,5514,35436,SF,-,-,0,ShADadfF,28,6978,21,36536,
1590507245,C0EoRc3htvH1Dy7vdd,192.168.0.108,48356,157.140.2.32,80,tcp,http,12.395448,5073,34721,SF,-,-,0,ShADadfF,27,6485,21,35821,
1590507245,CmsnHy1tO3gK0PWWh5,192.168.0.108,48358,157.140.2.32,80,tcp,http,7.291546,4535,51894,SF,-,-,0,ShADadFRfR,25,5819,20,52942,
1590507245,CHstXz2ljejtub0L0j,192.168.0.108,48360,157.140.2.32,80,tcp,http,12.87833,6013,27426,SF,-,-,0,ShADadfF,28,7477,20,28474,
1590507245,CIyV2M2IngqUBcmWof,192.168.0.108,48362,157.140.2.32,80,tcp,-,5.623993,0,0,SF,-,-,0,ShAfFa,3,164,3,164,
1590507245,CPTbD61EuLOx1muws,192.168.0.108,48364,157.140.2.32,80,tcp,http,12.627631,3345,13718,SF,-,-,0,ShADadfF,16,4185,11,14298,
1590507245,CaVb6I3POMZre4dN3c,192.168.0.108,48366,157.140.2.32,80,tcp,http,7.026456,641,2512,SF,-,-,0,ShADadfF,6,961,6,2832,
1590507245,CEyNUb1DkPTmG2eXwe,192.168.0.108,48368,157.140.2.32,80,tcp,http,12.222785,3016,14411,SF,-,-,0,ShADadfF,16,3856,13,15095,
1590507247,C2HvuutvZ2GVj6n7l,192.168.0.108,34120,159.226.89.26,80,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,
1590507251,CeR31s4cvsDcrLjYta,192.168.0.108,51344,216.58.200.35,443,tcp,-,0.004229,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507253,CPWRKWXz6ZYCNTIob,192.168.0.108,41963,192.168.0.1,53,udp,dns,0.410581,47,125,SF,-,-,0,Dd,1,75,1,153,
1590507253,CrMMzt2R8I6ozYGohb,192.168.0.108,60030,192.168.0.1,53,udp,dns,0.490856,47,101,SF,-,-,0,Dd,1,75,1,129,
1590507253,Cl6ljq0zK3rtQDXKj,192.168.0.108,33847,192.168.0.1,53,udp,dns,0.206953,41,87,SF,-,-,0,Dd,1,69,1,115,
1590507256,CY2zIz2eiKR3C2CYza,fe80::14f7:489c:cea0:e44c,143,ff02::16,0,icmp,-,2.00135,40,0,OTH,-,-,0,-,2,152,0,0,
1590507262,C5mXpm2VE3eGjo9ve6,192.168.0.108,48370,157.140.2.32,80,tcp,-,0.294909,0,0,S1,-,-,0,ShA,2,112,1,60,
