"@stream","@system","@proc","ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","proto","service","duration","orig_bytes","resp_bytes","conn_state","missed_bytes","history","orig_pkts","orig_ip_bytes","resp_pkts","resp_ip_bytes","orig_l2_addr","resp_l2_addr"
"conn","bobs.bigwheel.local","zeek","1588206894.007923","CxU2PLfSW5jcWrKo2","10.0.1.6","52351","10.0.0.4","389","udp","","0.0013880729675292969","246","174","SF","0","Dd","1","274","1","202","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.287531","CKcl7F12gSqIXJczLf","10.0.1.6","64563","10.0.0.4","389","udp","","0.0010561943054199219","203","174","SF","0","Dd","1","231","1","202","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206977.869289","CKteBm2vDPlotlrp72","10.0.1.4","60816","10.0.1.6","55121","tcp","","3.00325608253479","0","0","S0","0","S","3","156","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206984.874815","CpiedZKxqv4j4L9uk","10.0.1.4","60816","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206992.883645","CSAanLoVCBgqXRubg","10.0.1.4","60816","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206990.33993","CH4QwluixKz5ChqC5","10.0.1.6","64173","10.0.0.4","53","udp","dns","0.0013010501861572266","35","51","SF","0","Dd","1","63","1","79","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206998.94158","C9RFfF1y71SJZ9aX7","10.0.1.6","57044","10.0.0.4","389","tcp","","0.008389949798583984","2741","4007","RSTR","0","ShADdaFr","10","1303","10","4419","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206998.949662","CQPyihzhOsh1Xjo46","10.0.1.6","57045","10.0.0.4","389","tcp","","0.008588075637817383","2206","937","RSTR","0","ShADadFr","7","648","7","1229","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206998.952488","CIc3d33Zzv9Bv7y24f","10.0.1.6","57046","10.0.0.4","389","tcp","","0.005938053131103516","2391","1273","RSTR","0","ShADadFr","8","873","8","1605","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206998.960721","CwVGDs3YtoDpSkn2S2","10.0.1.6","57047","10.0.0.4","88","tcp","krb_tcp","0.002733945846557617","221","182","RSTR","0","ShADdFar","4","393","4","354","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206998.969973","CAueZt1JvdI6vhdRSb","10.0.1.6","57048","10.0.0.4","88","tcp","krb_tcp","0.0020799636840820313","301","1535","RSTR","0","ShADdFar","5","513","5","1747","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206998.972202","CAG1Rc22yRMLn0xFpl","10.0.1.6","57049","10.0.0.4","88","tcp","krb_tcp","0.002274036407470703","1443","1465","RSTR","0","ShADadFr","5","172","6","1717","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
